iter	Passed	Remaining
662	51413	26133
663	51498	26059
664	51581	25984
665	51663	25909
666	51749	25836
667	51826	25757
668	51908	25682
669	51988	25606
670	52073	25532
671	52155	25457
672	52241	25383
673	52324	25308
674	52405	25232
675	52488	25157
676	52569	25081
677	52653	25006
678	52736	24931
679	52816	24854
680	52897	24778
681	52973	24700
682	53053	24623
683	53139	24549
684	53219	24473
685	53305	24399
686	53388	24323
687	53470	24248
688	53554	24173
689	53640	24099
690	53725	24024
691	53807	23949
692	53888	23872
693	53969	23796
694	54056	23722
695	54136	23645
696	54220	23570
697	54301	23494
698	54383	23418
699	54467	23343
700	54551	23268
701	54633	23192
702	54712	23114
703	54793	23038
704	54875	22961
705	54956	22885
706	55036	22808
707	55122	22734
708	55204	22657
709	55282	22580
710	55363	22503
711	55443	22426
712	55527	22351
713	55609	22275
714	55691	22198
715	55776	22123
716	55859	22047
717	55940	21971
718	56021	21894
719	56107	21819
720	56189	21743
721	56270	21666
722	56355	21591
723	56431	21512
724	56517	21437
725	56599	21361
726	56678	21283
727	56761	21207
728	56846	21132
729	56932	21057
730	57017	20981
731	57098	20904
732	57179	20828
733	57258	20750
734	57339	20673
735	57417	20595
736	57498	20518
737	57582	20442
738	57664	20365
739	57747	20289
740	57829	20212
741	57912	20136
742	57992	20059
743	58079	19984
744	58164	19908
745	58245	19831
746	58325	19754
747	58402	19675
748	58487	19599
749	58574	19524
750	58654	19447
751	58735	19370
752	58820	19294
753	58900	19216
754	58984	19140
755	59070	19065
756	59155	18989
757	59238	18912
758	59320	18835
759	59401	18758
760	59483	18681
761	59617	18620
762	59704	18545
763	59788	18468
764	59871	18391
765	59952	18314
766	60032	18236
767	60112	18159
768	60192	18081
769	60272	18003
770	60358	17927
771	60442	17850
772	60529	17775
773	60609	17697
774	60694	17620
775	60773	17542
776	60857	17466
777	60941	17389
778	61028	17313
779	61110	17236
780	61194	17159
781	61277	17082
782	61357	17004
783	61436	16926
784	61518	16849
785	61602	16772
786	61685	16695
787	61768	16618
788	61851	16540
789	61929	16462
790	62014	16385
791	62090	16306
792	62174	16229
793	62255	16152
794	62339	16074
795	62418	15996
796	62498	15918
797	62583	15841
798	62667	15764
799	62752	15688
800	62830	15609
801	62913	15532
802	62998	15455
803	63080	15377
804	63163	15300
805	63252	15224
806	63329	15145
807	63410	15067
808	63489	14989
809	63571	14911
810	63650	14833
811	63728	14754
812	63811	14677
813	63895	14600
814	63981	14523
815	64064	14445
816	64149	14368
817	64232	14291
818	64313	14213
819	64392	14134
820	64475	14057
821	64558	13979
822	64640	13902
823	64727	13825
824	64803	13746
825	64887	13668
826	64964	13589
827	65042	13511
828	65121	13432
829	65199	13354
830	65276	13275
831	65355	13196
832	65433	13118
833	65511	13039
834	65589	12960
835	65669	12882
836	65751	12804
837	65827	12725
838	65903	12646
839	65982	12568
840	66061	12489
841	66142	12411
842	66222	12333
843	66298	12254
844	66376	12175
845	66457	12097
846	66543	12020
847	66629	11942
848	66712	11865
849	66799	11788
850	66884	11710
851	66970	11633
852	67058	11556
853	67138	11477
854	67221	11400
855	67298	11321
856	67381	11243
857	67466	11165
858	67547	11087
859	67632	11009
860	67709	10931
861	67788	10852
862	67871	10774
863	67956	10696
864	68037	10618
865	68121	10540
866	68205	10462
867	68286	10384
868	68367	10306
869	68448	10227
870	68530	10149
871	68608	10070
872	68693	9993
873	68778	9915
874	68866	9838
875	68947	9759
876	69031	9681
877	69111	9603
878	69195	9525
879	69276	9446
880	69358	9368
881	69442	9290
882	69525	9212
883	69603	9133
884	69687	9055
885	69769	8977
886	69850	8898
887	69933	8820
888	70016	8742
889	70097	8663
890	70176	8584
891	70258	8506
892	70340	8428
893	70420	8349
894	70504	8271
895	70588	8193
896	70674	8115
897	70754	8036
898	70839	7958
899	70916	7879
900	71000	7801
901	71081	7722
902	71162	7644
903	71244	7565
904	71325	7487
905	71405	7408
906	71486	7329
907	71567	7251
908	71643	7172
909	71722	7093
910	71800	7014
911	71877	6935
912	71957	6856
913	72038	6778
914	72116	6699
915	72195	6620
916	72277	6542
917	72359	6463
918	72442	6385
919	72525	6306
920	72610	6228
921	72694	6149
922	72774	6071
923	72854	5992
924	72931	5913
925	73017	5835
926	73107	5757
927	73189	5678
928	73271	5599
929	73354	5521
930	73441	5443
931	73526	5364
932	73610	5286
933	73697	5207
934	73785	5129
935	73915	5054
936	74006	4975
937	74091	4897
938	74172	4818
939	74249	4739
940	74328	4660
941	74407	4581
942	74488	4502
943	74565	4423
944	74640	4344
945	74721	4265
946	74801	4186
947	74877	4107
948	74954	4028
949	75030	3948
950	75109	3869
951	75186	3790
952	75268	3712
953	75353	3633
954	75435	3554
955	75515	3475
956	75604	3397
957	75689	3318
958	75773	3239
959	75851	3160
960	75931	3081
961	76012	3002
962	76098	2923
963	76177	2844
964	76257	2765
965	76339	2686
966	76424	2608
967	76501	2528
968	76584	2450
969	76664	2371
970	76745	2292
971	76823	2213
972	76905	2134
973	76988	2055
974	77070	1976
975	77152	1897
976	77234	1818
977	77315	1739
978	77398	1660
979	77479	1581
980	77557	1502
981	77645	1423
982	77733	1344
983	77814	1265
984	77895	1186
985	77978	1107
986	78058	1028
987	78141	949
988	78220	869
989	78305	790
990	78389	711
991	78472	632
992	78553	553
993	78639	474
994	78719	395
995	78805	316
996	78887	237
997	78971	158
998	79054	79
999	79134	0
